original coordinate,"ETRS89 Geodetic ( Degrees, Minutes, Seconds )","ETRS89 Geodetic ( Degrees, Decimal Minutes )","ETRS89 Geodetic ( Decimal Degrees )","ETRS89 XYZ","National Grid Eastings and Northings","National Grid KM Square"
"459300 304100","52, 37, 53.19012, W, 1, 7, 30.963251, 48.4006","52, 37.886502, W, 1, 7.516054, 48.4006","52.6314416999, -1.1252675699, 48.4006","3878636.7442, -76184.763, 5045793.8301","459300 304100 -0 1","SK5904"
"459305 84467","50, 39, 24.687899, W, 1, 9, 44.558081, 45.8811","50, 39.411465, W, 1, 9.742635, 45.8811","50.6568577497, -1.1623772447, 45.8811","4050819.7662, -82191.5129, 4909468.4571","459305 84467 -0 1","SZ5984"
"459361 93622","50, 44, 21.019901, W, 1, 9, 36.416632, 45.8321","50, 44.350332, W, 1, 9.606944, 45.8321","50.7391721946, -1.160115731, 45.8321","4043738.6299, -81888.1606, 4915268.4881","459361 93622 -0 1","SZ5993"
"459405 92920","50, 43, 58.279699, W, 1, 9, 34.578954, 45.8355","50, 43.971328, W, 1, 9.576316, 45.8355","50.732855472, -1.1596052649, 45.8355","4044283.3054, -81863.144, 4914823.7575","459405 92920 -0 1","SZ5992"
"459600 451700","53, 57, 28.735905, W, 1, 5, 35.487354, 47.8887","53, 57.478932, W, 1, 5.591456, 47.8887","53.9579821958, -1.0931909318, 47.8887","3760341.2761, -71755.1959, 5134032.2267","459600 451700 0 1","SE5951"
"459631 91977","50, 43, 27.671354, W, 1, 9, 23.599637, 45.8369","50, 43.461189, W, 1, 9.393327, 45.8369","50.7243531538, -1.1565554546, 45.8369","4045019.7297, -81662.6492, 4914225.0529","459631 91977 -0 1","SZ5991"
"459815 90504","50, 42, 39.921344, W, 1, 9, 15.076461, 45.8424","50, 42.665356, W, 1, 9.251274, 45.8424","50.7110892621, -1.1541879058, 45.8424","4046164.9812, -81518.5084, 4913290.8417","459815 90504 -0 1","SZ5990"
"460100 167345","51, 24, 7.056717, W, 1, 8, 14.656059, 46.6493","51, 24.117612, W, 1, 8.244268, 46.6493","51.4019601992, -1.1374044609, 46.6493","3986422.5854, -79146.6767, 4961601.4722","460100 167345 -0 1","SU6067"
"460100 524960","54, 36, 58.453869, W, 1, 4, 15.177805, 48.0316","54, 36.974231, W, 1, 4.252963, 48.0316","54.6162371859, -1.0708827236, 48.0316","3700887.0627, -69179.2242, 5176802.2156","460100 524960 -0 1","NZ6024"
"460197 315255","52, 43, 53.803019, W, 1, 6, 35.934244, 48.3743","52, 43.896717, W, 1, 6.598904, 48.3743","52.7316119497, -1.1099817344, 48.3743","3869793.5705, -74978.256, 5052551.6538","460197 315255 -0 1","SK6015"
"460247 180642","51, 31, 17.37376, W, 1, 7, 58.904933, 46.877","51, 31.289563, W, 1, 7.981749, 46.877","51.5214927112, -1.133029148, 46.877","3976028.47, -78636.5681, 4969887.3833","460247 180642 -0 1","SU6080"
"460480 509555","54, 28, 39.967257, W, 1, 4, 5.368832, 48.2916","54, 28.666121, W, 1, 4.089481, 48.2916","54.4777686824, -1.0681580089, 48.2916","3713444.2346, -69237.2951, 5167861.9106","460480 509555 -0 1","NZ6009"
"460950 86877","50, 40, 42.090455, W, 1, 8, 19.362821, 45.8348","50, 40.701508, W, 1, 8.322714, 45.8348","50.6783584598, -1.1387118948, 45.8348","4049003.6929, -80481.5966, 4910984.386","460950 86877 -0 1","SZ6086"
"461310 524200","54, 36, 33.347753, W, 1, 3, 8.306695, 48.003","54, 36.555796, W, 1, 3.138445, 48.003","54.6092632648, -1.0523074152, 48.003","3701542.0709, -67991.0149, 5176352.627","461310 524200 -0 1","NZ6124"
"461426 407872","53, 33, 50.028342, W, 1, 4, 26.635832, 47.8582","53, 33.833806, W, 1, 4.443931, 47.8582","53.5638967616, -1.074065509, 47.8582","3795736.1433, -71163.128, 5108102.8362","461426 407872 -0 1","SE6107"
"461749 105835","50, 50, 55.458233, W, 1, 7, 27.212955, 45.8094","50, 50.924304, W, 1, 7.453549, 45.8094","50.8487383979, -1.1242258208, 45.8094","4034346.1782, -79169.8504, 4922973.0854","461749 105835 -0 1","SU6105"
"461786 432235","53, 46, 58.089518, W, 1, 3, 49.647622, 47.7771","53, 46.968159, W, 1, 3.82746, 47.7771","53.7828026439, -1.063791006, 47.7771","3776123.1298, -70118.0349, 5122535.802","461786 432235 -0 1","SE6132"
"461905 340845","52, 57, 41.145997, W, 1, 4, 47.445841, 48.1943","52, 57.685767, W, 1, 4.790764, 48.1943","52.9614294437, -1.0798460669, 48.1943","3849452.1473, -72558.7127, 5067997.6134","461905 340845 -0 1","SK6140"
"461980 341255","52, 57, 54.381116, W, 1, 4, 43.144956, 48.1934","52, 57.906352, W, 1, 4.719083, 48.1934","52.9651058655, -1.0786513766, 48.1934","3849127.1242, -72472.2986, 5068244.0461","461980 341255 -0 1","SK6141"
"462113 311120","52, 41, 39.221718, W, 1, 4, 56.611656, 48.3248","52, 41.653695, W, 1, 4.943528, 48.3248","52.6942282549, -1.0823921267, 48.3248","3873138.4399, -73177.3504, 5050031.3756","462113 311120 -0 1","SK6211"
"462400 266680","52, 17, 41.030087, W, 1, 5, 11.226204, 48.0078","52, 17.683835, W, 1, 5.187103, 48.0078","52.2947305797, -1.0864517232, 48.0078","3908392.66, -74120.4498, 5022965.214","462400 266680 -0 1","SP6266"
"462750 521990","54, 35, 21.226235, W, 1, 1, 49.757184, 47.9983","54, 35.353771, W, 1, 1.829286, 47.9983","54.5892295098, -1.0304881067, 47.9983","3703385.195, -66614.0853, 5175060.7461","462750 521990 -0 1","NZ6221"
"462973 100090","50, 47, 49.019542, W, 1, 6, 28.178356, 45.753","50, 47.816992, W, 1, 6.469639, 45.753","50.7969498727, -1.1078273211, 45.753","4038833.9016, -78101.5328, 4919333.5435","462973 100090 -0 1","SU6200"
"463251 176664","51, 29, 7.444223, W, 1, 5, 25.620272, 46.7309","51, 29.12407, W, 1, 5.427005, 46.7309","51.4854011729, -1.0904500754, 46.7309","3979227.8624, -75741.5875, 4967387.7517","463251 176664 -0 1","SU6376"
"463500 521800","54, 35, 14.743822, W, 1, 1, 8.129986, 47.9774","54, 35.24573, W, 1, 1.1355, 47.9774","54.5874288395, -1.0189249961, 47.9774","3703561.8898, -65869.5925, 5174944.5819","463500 521800 -0 1","NZ6321"
"463542 98803","50, 47, 7.136637, W, 1, 5, 59.916693, 45.7404","50, 47.118944, W, 1, 5.998612, 45.7404","50.7853157325, -1.0999768593, 45.7404","4039847.2103, -77567.3969, 4918515.3805","463542 98803 -0 1","SZ6398"
"463774 152529","51, 16, 6.078303, W, 1, 5, 14.08299, 46.388","51, 16.101305, W, 1, 5.234717, 46.388","51.2683550841, -1.0872452751, 46.388","3998094.3461, -75876.9853, 4952314.5937","463774 152529 -0 1","SU6352"
"464164 100275","50, 47, 54.537944, W, 1, 5, 27.231755, 45.7319","50, 47.908966, W, 1, 5.453863, 45.7319","50.7984827623, -1.0908977098, 45.7319","4038724.6688, -76905.6289, 4919441.3102","464164 100275 -0 1","SU6400"
"464250 422290","53, 41, 35.274952, W, 1, 1, 42.467353, 47.6831","53, 41.587916, W, 1, 1.707789, 47.6831","53.6931319312, -1.0284631537, 47.6831","3784211.7217, -67934.1551, 5116632.5091","464250 422290 -0 1","SE6422"
"464400 170900","51, 26, 0.423795, W, 1, 4, 29.831477, 46.5918","51, 26.007063, W, 1, 4.497191, 46.5918","51.4334510541, -1.074953188, 46.5918","3983768.1367, -74750.1268, 4963786.3934","464400 170900 -0 1","SU6470"
"464490 343330","52, 59, 0.455184, W, 1, 2, 27.148323, 48.0919","52, 59.007586, W, 1, 2.452472, 48.0919","52.9834597732, -1.0408745342, 48.0919","3847543.5822, -69904.8131, 5069473.9311","464490 343330 -0 1","SK6443"
"464745 410680","53, 35, 19.442352, W, 1, 1, 24.175165, 47.709","53, 35.324039, W, 1, 1.402919, 47.709","53.5887339868, -1.0233819902, 47.709","3793573.5599, -67765.6853, 5109744.0424","464745 410680 -0 1","SE6410"
"464780 339478","52, 56, 55.694213, W, 1, 2, 14.369448, 48.0751","52, 56.928237, W, 1, 2.239491, 48.0751","52.948803948, -1.0373248467, 48.0751","3850626.1355, -69722.1799, 5067151.0627","464780 339478 -0 1","SK6439"
"465360 100050","50, 47, 46.774127, W, 1, 4, 26.288176, 45.71","50, 47.779569, W, 1, 4.438136, 45.71","50.7963261465, -1.0739689378, 45.71","4038933.0813, -75715.817, 4919289.6527","465360 100050 -0 1","SU6500"
"465518 159440","51, 19, 49.05125, W, 1, 3, 39.540574, 46.4035","51, 19.817521, W, 1, 3.65901, 46.4035","51.330292014, -1.0609834929, 46.4035","3992751.912, -73944.8556, 4956623.0796","465518 159440 -0 1","SU6559"
"465765 105125","50, 50, 30.887238, W, 1, 4, 2.333267, 45.7327","50, 50.514787, W, 1, 4.038888, 45.7327","50.8419131216, -1.0673147963, 45.7327","4035011.4591, -75173.5239, 4922493.6009","465765 105125 -0 1","SU6505"
"466385 103615","50, 49, 41.752038, W, 1, 3, 31.61935, 45.7097","50, 49.695867, W, 1, 3.526989, 45.7097","50.828264455, -1.0587831528, 45.7097","4036199.6236, -74594.4414, 4921534.6569","466385 103615 -0 1","SU6603"
"466400 521400","54, 35, 0.466441, W, 0, 58, 26.934716, 47.8855","54, 35.007774, W, 0, 58.448912, 47.8855","54.5834629003, -0.9741485323, 47.8855","3703971.9243, -62981.3673, 5174688.6773","466400 521400 -0 1","NZ6621"
"466500 510030","54, 28, 52.628203, W, 0, 58, 30.590926, 48.1085","54, 28.877137, W, 0, 58.509849, 48.1085","54.4812856119, -0.9751641461, 48.1085","3713233.025, -63204.6797, 5168089.2126","466500 510030 -0 1","NZ6610"
"467233 164110","51, 22, 19.479043, W, 1, 2, 7.765392, 46.4141","51, 22.324651, W, 1, 2.129423, 46.4141","51.3720775119, -1.0354903866, 46.4141","3989154.2955, -72102.7054, 4959526.523","467233 164110 -0 1","SU6764"
"467305 345910","53, 0, 22.690535, W, 0, 59, 54.295832, 47.9782","53, 0.378176, W, 0, 59.904931, 47.9782","53.0063029264, -0.9984155088, 47.9782","3845564.4568, -67018.1974, 5071003.9235","467305 345910 -0 1","SK6745"
"467483 175173","51, 28, 17.431095, W, 1, 1, 47.264398, 46.5973","51, 28.290518, W, 1, 1.78774, 46.5973","51.4715086374, -1.0297956661, 46.5973","3980514.8191, -71550.7913, 4966424.997","467483 175173 -0 1","SU6775"
"468080 413770","53, 36, 57.893122, W, 0, 58, 20.408505, 47.5556","53, 36.964885, W, 0, 58.340142, 47.5556","53.6160814226, -0.9723356959, 47.5556","3791182.7381, -64344.2896, 5111550.0205","468080 413770 -0 1","SE6813"
"468370 508485","54, 28, 1.759034, W, 0, 56, 47.993395, 48.0559","54, 28.029317, W, 0, 56.79989, 48.0559","54.4671552873, -0.9466648318, 48.0559","3714543.92, -61378.8335, 5167175.199","468370 508485 -0 1","NZ6808"
"468720 421900","53, 41, 20.613775, W, 0, 57, 39.122216, 47.4848","53, 41.343563, W, 0, 57.652037, 47.4848","53.689059382, -0.9608672824, 47.4848","3784654.3315, -63475.7308, 5116363.9477","468720 421900 -0 1","SE6821"
"469240 412370","53, 36, 12.053856, W, 0, 57, 18.412039, 47.515","53, 36.200898, W, 0, 57.306867, 47.515","53.6033482935, -0.9551144553, 47.515","3792342.545, -63223.797, 5110709.2006","469240 412370 -0 1","SE6912"
"469695 348465","53, 1, 44.261093, W, 0, 57, 44.110755, 47.8844","53, 1.737685, W, 0, 57.735179, 47.8844","53.0289614147, -0.9622529876, 47.8844","3843591.9072, -64557.2081, 5072520.7686","469695 348465 -0 1","SK6948"
"470191 380318","53, 18, 54.622689, W, 0, 56, 52.379538, 47.6832","53, 18.910378, W, 0, 56.872992, 47.6832","53.3151729691, -0.9478832051, 47.6832","3818115.3158, -63171.4522, 5091613.4671","470191 380318 -0 1","SK7080"
"470264 173430","51, 27, 19.802582, W, 0, 59, 24.390764, 46.4974","51, 27.330043, W, 0, 59.406513, 46.4974","51.4555007173, -0.9901085456, 46.4974","3981956.2803, -68817.6593, 4965315.3275","470264 173430 -0 1","SU7073"
"470400 380200","53, 18, 50.705265, W, 0, 56, 41.182037, 47.6755","53, 18.845088, W, 0, 56.686367, 47.6755","53.314084796, -0.944772788, 47.6755","3818215.8401, -62965.7793, 5091541.1097","470400 380200 -0 1","SK7080"
"470535 340160","52, 57, 15.153848, W, 0, 57, 5.542063, 47.8741","52, 57.252564, W, 0, 57.092368, 47.8741","52.9542094023, -0.9515394619, 47.8741","3850246.0407, -63948.8273, 5067513.3321","470535 340160 -0 1","SK7040"
"470685 508410","54, 27, 58.194656, W, 0, 54, 39.499737, 47.9716","54, 27.969911, W, 0, 54.658329, 47.9716","54.4661651822, -0.9109721492, 47.9716","3714671.064, -59066.2539, 5167111.0771","470685 508410 -0 1","NZ7008"
"470781 106529","50, 51, 14.203293, W, 0, 59, 44.92582, 45.6591","50, 51.236722, W, 0, 59.748764, 45.6591","50.8539453593, -0.9958127279, 45.6591","4034064.2382, -70119.9475, 4923338.6724","470781 106529 -0 1","SU7006"
"470920 349865","53, 2, 28.980365, W, 0, 56, 37.259636, 47.837","53, 2.483006, W, 0, 56.620994, 47.837","53.0413834346, -0.9436832322, 47.837","3842508.1905, -63293.2915, 5073352.0133","470920 349865 -0 1","SK7049"
"470990 431268","53, 46, 22.592126, W, 0, 55, 27.674276, 47.3601","53, 46.376535, W, 0, 55.461238, 47.3601","53.7729422572, -0.9243539655, 47.3601","3777167.5982, -60942.4083, 5121886.9471","470990 431268 -0 1","SE7031"
"471528 173813","51, 27, 31.628632, W, 0, 58, 18.633181, 46.4762","51, 27.527144, W, 0, 58.310553, 46.4762","51.4587857311, -0.9718425502, 46.4762","3981692.1849, -67543.3524, 4965543.0436","471528 173813 -0 1","SU7173"
"471529 173813","51, 27, 31.628177, W, 0, 58, 18.581375, 46.4761","51, 27.527136, W, 0, 58.30969, 46.4761","51.4587856047, -0.9718281596, 46.4761","3981692.2129, -67542.3526, 4965543.0348","471529 173813 -0 1","SU7173"
"471543 173742","51, 27, 29.32389, W, 0, 58, 17.907646, 46.4746","51, 27.488732, W, 0, 58.298461, 46.4746","51.4581455251, -0.9716410129, 46.4746","3981748.1249, -67530.2916, 4965498.6615","471543 173742 -0 1","SU7173"
"471781 106595","50, 51, 15.896771, W, 0, 58, 53.745093, 45.6435","50, 51.264946, W, 0, 58.895752, 45.6435","50.8544157698, -0.9815958592, 45.6435","4034040.9239, -69118.2729, 4923371.697","471781 106595 -0 1","SU7106"
"472352 139697","51, 9, 7.071102, W, 0, 58, 0.833018, 46.0917","51, 9.117852, W, 0, 58.013884, 46.0917","51.151964195, -0.9668980606, 46.0917","4008336.2454, -67649.3195, 4944202.3563","472352 139697 -0 1","SU7239"
"472520 153940","51, 16, 47.98677, W, 0, 57, 41.827526, 46.2077","51, 16.799779, W, 0, 57.697125, 46.2077","51.279996325, -0.9616187573, 46.2077","3997240.7323, -67093.6438, 4953124.6843","472520 153940 -0 1","SU7253"
"472800 106500","50, 51, 12.363796, W, 0, 58, 1.707145, 45.626","50, 51.206063, W, 0, 58.028452, 45.626","50.8534343877, -0.9671408737, 45.626","4034142.8796, -68101.9632, 4923302.7612","472800 106500 -0 1","SU7206"
"473000 352000","53, 3, 37.054551, W, 0, 54, 43.860019, 47.7515","53, 3.617576, W, 0, 54.731, 47.7515","53.0602929309, -0.9121833385, 47.7515","3840860.7962, -61153.9854, 5074616.9134","473000 352000 -0 1","SK7251"
"473091 208549","51, 46, 15.092473, W, 0, 56, 31.615567, 47.0314","51, 46.251541, W, 0, 56.526926, 47.0314","51.7708590202, -0.9421154353, 47.0314","3954514.131, -65030.0011, 4987103.6162","473091 208549 -0 1","SP7308"
"473421 110816","50, 53, 31.782684, W, 0, 57, 26.838041, 45.6738","50, 53.529711, W, 0, 57.447301, 45.6738","50.8921618565, -0.9574550113, 45.6738","4030812.6806, -67364.1429, 4926021.5263","473421 110816 -0 1","SU7310"
"473830 352570","53, 3, 55.087921, W, 0, 53, 58.813957, 47.7163","53, 3.918132, W, 0, 53.980233, 47.7163","53.0653022003, -0.8996705436, 47.7163","3840428.5085, -60308.1837, 5074951.8927","473830 352570 -0 1","SK7352"
"474130 339920","52, 57, 5.64796, W, 0, 53, 53.135321, 47.7722","52, 57.094133, W, 0, 53.885589, 47.7722","52.9515688778, -0.8980931448, 47.7722","3850538.4645, -60360.9109, 5067336.2121","474130 339920 -0 1","SK7439"
"474170 287425","52, 28, 47.053343, W, 0, 54, 33.550093, 47.7993","52, 28.784222, W, 0, 54.559168, 47.7993","52.4797370398, -0.9093194703, 47.7993","3892297.2378, -61778.3523, 5035529.5481","474170 287425 -0 1","SP7487"
"474387 123571","51, 0, 24.187435, W, 0, 56, 28.031759, 45.8399","51, 0.403124, W, 0, 56.467196, 45.8399","51.0067187319, -0.941119933, 45.8399","4020936.1137, -66052.3955, 4934050.5978","474387 123571 -0 1","SU7423"
"474414 423753","53, 42, 17.757767, W, 0, 52, 27.183473, 47.2219","53, 42.295963, W, 0, 52.453058, 47.2219","53.7049327129, -0.8742176314, 47.2219","3783322.227, -57730.32, 5117409.7228","474414 423753 -0 1","SE7423"
"474759 260486","52, 14, 15.050092, W, 0, 54, 23.899874, 47.5943","52, 14.250835, W, 0, 54.398331, 47.5943","52.2375139145, -0.906638854, 47.5943","3913640.3101, -61933.9606, 5019068.5101","474759 260486 -0 1","SP7460"
"474825 106325","50, 51, 5.770021, W, 0, 56, 18.291949, 45.5924","50, 51.096167, W, 0, 56.304866, 45.5924","50.8516027835, -0.9384144303, 45.5924","4034334.4945, -66081.94, 4923174.0982","474825 106325 -0 1","SU7406"
"475215 430420","53, 45, 53.027765, W, 0, 51, 37.684626, 47.1678","53, 45.883796, W, 0, 51.628077, 47.1678","53.7647299348, -0.8604679516, 47.1678","3777970.3089, -56741.8197, 5121346.5513","475215 430420 -0 1","SE7530"
"475280 318740","52, 45, 39.778167, W, 0, 53, 9.104505, 47.9193","52, 45.662969, W, 0, 53.151742, 47.9193","52.7610494909, -0.8858623625, 47.9193","3867449.8087, -59800.2379, 5054534.3279","475280 318740 -0 1","SK7518"
"475300 171900","51, 26, 27.957408, W, 0, 55, 4.689128, 46.3698","51, 26.465957, W, 0, 55.078152, 46.3698","51.4410992799, -0.9179692021, 46.3698","3983292.5791, -63824.1218, 4964316.66","475300 171900 -0 1","SU7571"
"476220 507880","54, 27, 38.175344, W, 0, 49, 32.631779, 47.7627","54, 27.636256, W, 0, 49.543863, 47.7627","54.4606042623, -0.8257310498, 47.7627","3715258.3708, -53546.9913, 5166751.1237","476220 507880 -0 1","NZ7607"
"476324 154546","51, 17, 5.811901, W, 0, 54, 25.05867, 46.1429","51, 17.096865, W, 0, 54.417644, 46.1429","51.2849477502, -0.9069607416, 46.1429","3996873.1227, -63273.5927, 4953469.1916","476324 154546 -0 1","SU7654"
"476380 182270","51, 32, 3.051929, W, 0, 54, 0.693923, 46.5366","51, 32.050865, W, 0, 54.011565, 46.5366","51.5341810915, -0.9001927563, 46.5366","3975209.8899, -62460.964, 4970765.3831","476380 182270 -0 1","SU7682"
"476965 105985","50, 50, 53.756069, W, 0, 54, 29.128579, 45.5556","50, 50.895934, W, 0, 54.485476, 45.5556","50.8482655747, -0.9080912718, 45.5556","4034656.7472, -63951.3664, 4922939.6785","476965 105985 -0 1","SU7605"
"476990 340030","52, 57, 7.760529, W, 0, 51, 19.826797, 47.7009","52, 57.129342, W, 0, 51.330447, 47.7009","52.9521557025, -0.8555074435, 47.7009","3850530.1054, -57498.1617, 5067375.5008","476990 340030 -0 1","SK7640"
"477160 171443","51, 26, 12.267427, W, 0, 53, 28.72613, 46.3298","51, 26.204457, W, 0, 53.478769, 46.3298","51.436740952, -0.891312814, 46.3298","3983700.9328, -61976.8187, 4964014.3691","477160 171443 -0 1","SU7771"
"477640 179762","51, 30, 41.265221, W, 0, 52, 57.299794, 46.4641","51, 30.687754, W, 0, 52.954997, 46.4641","51.5114625615, -0.8825832762, 46.4641","3977207.3997, -61269.6857, 4969192.6198","477640 179762 -0 1","SU7779"
"477712 127718","51, 2, 36.830664, W, 0, 53, 34.259275, 45.8433","51, 2.613844, W, 0, 53.570988, 45.8433","51.0435640733, -0.8928497986, 45.8433","4017804.0485, -62615.1868, 4936628.8042","477712 127718 -0 1","SU7727"
"478085 178289","51, 29, 53.373129, W, 0, 52, 35.392096, 46.4272","51, 29.889552, W, 0, 52.589868, 46.4272","51.4981592025, -0.8764978044, 46.4272","3978372.1537, -60864.9804, 4968271.295","478085 178289 -0 1","SU7878"
"478177 170740","51, 25, 49.014659, W, 0, 52, 36.62382, 46.3033","51, 25.816911, W, 0, 52.610397, 46.3033","51.4302818498, -0.87683995, 46.3033","3984278.2592, -60979.1357, 4963566.3429","478177 170740 -0 1","SU7870"
"478330 505555","54, 26, 21.81784, W, 0, 47, 37.692816, 47.6968","54, 26.363631, W, 0, 47.628214, 47.6968","54.4393938445, -0.7938035599, 47.6968","3717208.3562, -51503.3055, 5165378.3416","478330 505555 -0 1","NZ7805"
"478380 411000","53, 35, 23.109094, W, 0, 49, 2.504915, 47.1688","53, 35.385152, W, 0, 49.041749, 47.1688","53.589752526, -0.8173624763, 47.1688","3793701.1591, -54123.3467, 5109810.8957","478380 411000 -0 1","SE7810"
"478641 215341","51, 49, 52.191097, W, 0, 51, 36.576731, 47.0587","51, 49.869852, W, 0, 51.609612, 47.0587","51.8311641936, -0.860160203, 47.0587","3949330.6847, -59294.2856, 4991252.9524","478641 215341 -0 1","SP7815"
"478655 425715","53, 43, 18.994987, W, 0, 48, 34.165215, 47.0281","53, 43.316583, W, 0, 48.56942, 47.0281","53.721943052, -0.8094903376, 47.0281","3781858.9749, -53434.6863, 5118530.0429","478655 425715 -0 1","SE7825"
"478690 471360","54, 7, 55.530269, W, 0, 47, 50.039007, 47.2496","54, 7.925504, W, 0, 47.833983, 47.2496","54.1320917413, -0.7972330574, 47.2496","3744975.5671, -52112.2331, 5145410.3935","478690 471360 -0 1","SE7871"
"478740 105766","50, 50, 45.810959, W, 0, 52, 58.541667, 45.5276","50, 50.763516, W, 0, 52.975694, 45.5276","50.8460585998, -0.8829282409, 45.5276","4034874.7938, -62182.3624, 4922784.6393","478740 105766 -0 1","SU7805"
"479042 175787","51, 28, 31.92206, W, 0, 51, 47.786481, 46.3686","51, 28.532034, W, 0, 51.796441, 46.3686","51.4755339055, -0.8632740226, 46.3686","3980355.499, -59976.4515, 4966703.7694","479042 175787 -0 1","SU7975"
"479211 143053","51, 10, 52.423163, W, 0, 52, 5.19652, 46.0024","51, 10.873719, W, 0, 52.086609, 46.0024","51.1812286564, -0.8681101444, 46.0024","4005911.0315, -60699.7263, 4946243.8233","479211 143053 -0 1","SU7943"
"479600 354300","53, 4, 48.080647, W, 0, 48, 47.36437, 47.4972","53, 4.801344, W, 0, 48.789406, 47.4972","53.080022402, -0.8131567694, 47.4972","3839205.6283, -54490.6744, 5075935.9442","479600 354300 -0 1","SK7954"
"479964 202758","51, 43, 4.30612, W, 0, 50, 37.890362, 46.8755","51, 43.071769, W, 0, 50.631506, 46.8755","51.717862811, -0.8438584339, 46.8755","3959249.5261, -58316.4717, 4983452.5299","479964 202758 -0 1","SP7902"
"480034 429437","53, 45, 18.647343, W, 0, 47, 15.487237, 46.9562","53, 45.310789, W, 0, 47.258121, 46.9562","53.7551798175, -0.7876353437, 46.9562","3778896.491, -51951.1204, 5120718.0024","480034 429437 -0 1","SE8029"
"480430 505380","54, 26, 14.978564, W, 0, 45, 41.330238, 47.6109","54, 26.249643, W, 0, 45.688837, 47.6109","54.4374940456, -0.7614806216, 47.6109","3717408.7871, -49408.5508, 5165255.2831","480430 505380 -0 1","NZ8005"
"480488 354510","53, 4, 54.396396, W, 0, 47, 59.464289, 47.4671","53, 4.906607, W, 0, 47.991071, 47.4671","53.0817767766, -0.7998511914, 47.4671","3839062.0831, -53596.9298, 5076053.1993","480488 354510 -0 1","SK8054"
"480596 168657","51, 24, 40.381801, W, 0, 50, 33.090228, 46.2392","51, 24.67303, W, 0, 50.551504, 46.2392","51.4112171669, -0.8425250632, 46.2392","3985971.9943, -58617.2911, 4962243.5935","480596 168657 -0 1","SU8068"
"480937 204765","51, 44, 8.755768, W, 0, 49, 45.519621, 46.8905","51, 44.145929, W, 0, 49.75866, 46.8905","51.7357654911, -0.8293110058, 46.8905","3957700.6002, -57288.5808, 4984686.3512","480937 204765 -0 1","SP8004"
"481080 339260","52, 56, 40.683289, W, 0, 47, 41.415958, 47.6104","52, 56.678055, W, 0, 47.690266, 47.6104","52.944634247, -0.7948377662, 47.6104","3851256.7427, -53430.1255, 5066871.0873","481080 339260 -0 1","SK8139"
"481246 105435","50, 50, 33.851808, W, 0, 50, 50.686777, 45.4889","50, 50.564197, W, 0, 50.84478, 45.4889","50.8427366135, -0.8474129936, 45.4889","4035199.075, -59685.539, 4922551.2598","481246 105435 -0 1","SU8105"
"481311 198112","51, 40, 33.257384, W, 0, 49, 31.610049, 46.7943","51, 40.55429, W, 0, 49.526834, 46.7943","51.6759048289, -0.8254472358, 46.7943","3962931.0805, -57096.9951, 4980558.924","481311 198112 -0 1","SU8198"
"481626 155260","51, 17, 26.276648, W, 0, 49, 50.84222, 46.0636","51, 17.437944, W, 0, 49.84737, 46.0636","51.2906324021, -0.8307895054, 46.0636","3996460.2173, -57952.7837, 4953864.6656","481626 155260 -0 1","SU8155"
"481779 213470","51, 48, 50.025188, W, 0, 48, 54.26385, 46.9784","51, 48.833753, W, 0, 48.904398, 46.9784","51.8138958856, -0.8150732917, 46.9784","3950886.2961, -56207.9646, 4990065.3011","481779 213470 -0 1","SP8113"
"481900 389900","53, 23, 58.573978, W, 0, 46, 10.906334, 47.1793","53, 23.976233, W, 0, 46.181772, 47.1793","53.3996038827, -0.7696962039, 47.1793","3810754.075, -51195.7325, 5097221.1807","481900 389900 -0 1","SK8189"
"482000 388400","53, 23, 9.991274, W, 0, 46, 6.891376, 47.1834","53, 23.166521, W, 0, 46.114856, 47.1834","53.3861086871, -0.7685809379, 47.1834","3811960.6374, -51137.7287, 5096325.5393","482000 388400 -0 1","SK8188"
"482065 241508","52, 3, 57.194604, W, 0, 48, 15.2869, 47.2904","52, 3.953243, W, 0, 48.254782, 47.2904","52.0658873901, -0.8042463611, 47.2904","3928822.8342, -55151.5143, 5007350.8322","482065 241508 -0 1","SP8241"
"482294 163735","51, 22, 0.213488, W, 0, 49, 9.323816, 46.1498","51, 22.003558, W, 0, 49.155397, 46.1498","51.3667259688, -0.8192566155, 46.1498","3989862.9012, -57053.8422, 4959154.6151","482294 163735 -0 1","SU8263"
"482349 206620","51, 45, 8.048155, W, 0, 48, 30.3466, 46.8961","51, 45.134136, W, 0, 48.505777, 46.8961","51.7522355985, -0.8084296111, 46.8961","3956282.3738, -55825.8935, 4985821.0074","482349 206620 -0 1","SP8206"
"482800 505270","54, 26, 10.052808, W, 0, 43, 29.93246, 47.5147","54, 26.167547, W, 0, 43.498874, 47.5147","54.43612578, -0.7249812388, 47.5147","3717563.3398, -47041.9906, 5165166.623","482800 505270 -0 1","NZ8205"
"483352 161550","51, 20, 48.946089, W, 0, 48, 16.46737, 46.1049","51, 20.815768, W, 0, 48.274456, 46.1049","51.3469294691, -0.8045742694, 46.1049","3991597.4383, -56055.5722, 4957779.2027","483352 161550 -0 1","SU8361"
"483530 105060","50, 50, 20.544513, W, 0, 48, 54.235997, 45.4509","50, 50.342409, W, 0, 48.903933, 45.4509","50.8390401424, -0.8150655546, 45.4509","4035550.9286, -57411.9155, 4922291.5561","483530 105060 -0 1","SU8305"
